tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	method_codes	sample	software_packages	specimen
0.00	0.860792	0.150805	1.062829	b	1.201558	0.32062003:0.34085217:0.3385278:0.010074951:-0.002931514:0.027117362	6	0.029994	-1	ATRM	0.358892:19.3:50.4	0.342419:266.5:17.8	0.298689:163.9:34.0	This study	Critical F: 3.1059	LP-AN-TRM	ak01a	pmagpy-4.3.8	ak01a
0.00	0.768478	0.069775	1.094758	b	1.173483	0.3511802:0.34389335:0.30492646:0.0011187756:-0.0005091746:-0.012139581	6	0.028264	-1	ATRM	0.354313:6.8:-13.8	0.343754:96.5:1.3	0.301933:181.3:-76.2	This study	Critical F: 3.1059	LP-AN-TRM	ak01b	pmagpy-4.3.8	ak01b
0.00	0.678615	0.037455	1.037787	b	1.263478	0.3395898:0.32779685:0.33261338:-0.027876765:0.023912963:0.016299535	6	0.044101	-1	ATRM	0.362559:316.5:-8.8	0.350488:33.1:56.2	0.286953:52.1:-32.3	This study	Critical F: 3.1059	LP-AN-TRM	ak01c	pmagpy-4.3.8	ak01c
0.00	0.155216	0.002594	0.262346	b	1.106439	0.31517726:0.34319627:0.34162647:-0.0003095622:0.0014974732:0.009358364	6	0.041724	-1	ATRM	0.345411:64.4:54.9	0.342406:281.7:29.2	0.312183:1.5:-17.7	This study	Critical F: 3.1059	LP-AN-TRM	ak01d	pmagpy-4.3.8	ak01d
0.00	1.821163	0.863243	1.437482	b	1.240879	0.35015646:0.34515375:0.3046898:0.019606037:-0.010956762:0.012371315	6	0.023704	-1	ATRM	0.367495:220.5:-2.1	0.336349:309.4:27.3	0.296157:314.5:-62.6	This study	Critical F: 3.1059	LP-AN-TRM	ak03a	pmagpy-4.3.8	ak03a
0.00	1.185372	0.231182	1.418715	b	1.208514	0.344158:0.30619812:0.3496439:-0.003283597:-0.020701637:0.0048372005	6	0.026269	-1	ATRM	0.359991:313.7:60.5	0.342129:186.2:19.0	0.297879:88.3:21.7	This study	Critical F: 3.1059	LP-AN-TRM	ak03b	pmagpy-4.3.8	ak03b
0.00	1.241115	0.094032	1.819353	b	1.200958	0.30297673:0.35064143:0.34638175:0.002239844:-0.0065796077:0.016297504	6	0.025511	-1	ATRM	0.356929:285.4:45.3	0.345866:69.4:38.6	0.297204:175.2:18.9	This study	Critical F: 3.1059	LP-AN-TRM	ak03c	pmagpy-4.3.8	ak03c
0.00	0.726215	0.240387	0.708576	b	1.155988	0.34129933:0.31080696:0.3478937:0.010963937:-0.0033378834:-0.008051448	6	0.025442	-1	ATRM	0.355190:198.9:50.0	0.337549:196.7:-40.0	0.307261:287.6:-1.0	This study	Critical F: 3.1059	LP-AN-TRM	ak04a	pmagpy-4.3.8	ak04a
0.00	1.002377	0.108536	1.383405	b	1.168648	0.33617362:0.31237417:0.3514522:0.017378919:-0.0050092456:-0.0025808185	6	0.023998	-1	ATRM	0.354093:214.7:62.0	0.342912:205.4:-27.7	0.302994:297.4:-3.9	This study	Critical F: 3.1059	LP-AN-TRM	ak04b	pmagpy-4.3.8	ak04b
0.00	0.733552	1.121471	0.040596	b	1.126485	0.3550267:0.31961855:0.32535473:0.007140071:-0.0002607432:0.0073497524	6	0.022549	-1	ATRM	0.357989:10.5:12.4	0.324218:242.2:70.4	0.317793:283.8:-14.9	This study	Critical F: 3.1059	LP-AN-TRM	ak04c	pmagpy-4.3.8	ak04c
